ID_Envio;ID_Transportista;Fecha_Salida;Tipo_Vehiculo;Tipo_Carga;Region_Origen;Region_Destino;Distancia_Km;Costo_Combustible;Costo_Mantenimiento;Tarifa_Cliente;Estado_Final;Fecha_Llegada_Estimada;Fecha_Llegada_Real
ENV00041;ID_T007;2024-07-21;Furgoneta;Materiales_Construccion;Sur;Sur;666;68;46;365;Entregado;2024-07-22 07:58:04.800;2024-07-21 21:19:14.165239
ENV00042;ID_T006;2024-09-13;Furgoneta;Materiales_Construccion;Centro;Canarias;738;157;51;447;Cancelado;2024-09-14 11:25:26.400;2024-09-14 11:25:26.400000
ENV00043;ID_T001;2024-03-24;Furgoneta;Mobiliario;Sur;Canarias;483;188;40;364;Cancelado;2024-03-24 23:11:02.400;2024-03-24 23:11:02.400000
ENV00044;ID_T011;2024-03-23;Camioneta;Mobiliario;Canarias;Andalucía;636;153;100;213;Entregado;2024-03-24 06:31:40.800;2024-03-24 16:59:13.297763
ENV00045;ID_T012;2024-11-27;Camioneta;Mobiliario;Norte;Norte;517;293;64;192;Cancelado;2024-11-28 00:48:57.600;2024-11-28 00:48:57.600000
ENV00046;ID_T008;2024-04-23;Furgoneta;Frío;Centro;Norte;168;168;10;400;Retrasado;2024-04-23 08:03:50.400;2024-04-27 08:03:50.400000
ENV00047;ID_T013;2024-11-08;Furgoneta;Materiales_Construccion;Levante;Norte;1219;137;39;512;Entregado;2024-11-10 10:30:43.200;2024-11-10 15:47:09.479320
ENV00048;ID_T005;2024-11-07;Camioneta;Mobiliario;Norte;Andalucía;552;298;66;495;Entregado;2024-11-08 02:29:45.600;2024-11-07 20:26:50.758251
ENV00049;ID_T007;2024-11-06;Camioneta;Químicos;Canarias;Sur;50;222;67;501;Retrasado;2024-11-06 02:24:00.000;2024-11-11 02:24:00.000000
ENV00050;ID_T005;2024-02-11;Camioneta;Mobiliario;Centro;Andalucía;691;197;59;294;Retrasado;2024-02-12 09:10:04.800;2024-02-14 09:10:04.800000
ENV00051;ID_T015;2024-03-14;Camioneta;Materiales_Construccion;Andalucía;Andalucía;611;87;30;391;Entregado;2024-03-15 05:19:40.800;2024-03-15 03:56:23.264172
ENV00052;ID_T009;2024-09-14;Camioneta;Químicos;Centro;Andalucía;711;219;10;415;Retrasado;2024-09-15 10:07:40.800;2024-09-20 10:07:40.800000
ENV00053;ID_T004;2024-08-10;Furgoneta;Paqueteria;Canarias;Sur;741;133;70;518;Entregado;2024-08-11 11:34:04.800;2024-08-11 05:28:12.890178
ENV00054;ID_T014;2024-01-07;Camioneta;Materiales_Construccion;Andalucía;Norte;326;139;38;413;Cancelado;2024-01-07 15:38:52.800;2024-01-07 15:38:52.800000
ENV00055;ID_T007;2024-01-24;Furgoneta;Químicos;Centro;Centro;208;20;43;383;Retrasado;2024-01-24 09:59:02.400;2024-01-29 09:59:02.400000
ENV00056;ID_T006;2024-05-14;Camioneta;Químicos;Sur;Levante;241;80;86;239;Cancelado;2024-05-14 11:34:04.800;2024-05-14 11:34:04.800000
ENV00057;ID_T009;2024-10-06;Camioneta;Paqueteria;Levante;Norte;50;131;30;279;Retrasado;2024-10-06 02:24:00.000;2024-10-10 02:24:00.000000
ENV00058;ID_T005;2024-02-23;Furgoneta;Frío;Centro;Andalucía;423;207;81;382;Entregado;2024-02-23 20:18:14.400;2024-02-23 10:07:48.588095
ENV00059;ID_T015;2024-08-29;Furgoneta;Mobiliario;Levante;Norte;1025;223;36;378;Retrasado;2024-08-31 01:12:00.000;2024-09-01 01:12:00.000000
ENV00060;ID_T005;2024-10-02;Furgoneta;Mobiliario;Canarias;Centro;371;34;42;219;Entregado;2024-10-02 17:48:28.800;2024-10-02 10:22:01.862555
ENV00061;ID_T012;2024-06-03;Camioneta;Frío;Canarias;Sur;861;142;10;419;Cancelado;2024-06-04 17:19:40.800;2024-06-04 17:19:40.800000
ENV00062;ID_T015;2024-04-17;Camioneta;Paqueteria;Levante;Norte;72;276;49;351;Retrasado;2024-04-17 03:27:21.600;2024-04-18 03:27:21.600000
ENV00063;ID_T014;2024-11-22;Camioneta;Químicos;Andalucía;Levante;343;131;15;376;Retrasado;2024-11-22 16:27:50.400;2024-11-27 16:27:50.400000
ENV00064;ID_T002;2024-03-30;Furgoneta;Químicos;Levante;Sur;469;171;108;644;Entregado;2024-03-30 22:30:43.200;2024-03-30 14:12:46.665872
ENV00065;ID_T003;2024-03-09;Camioneta;Frío;Andalucía;Levante;329;134;83;386;Entregado;2024-03-09 15:47:31.200;2024-03-09 10:02:18.238843
ENV00066;ID_T014;2024-07-09;Furgoneta;Químicos;Canarias;Norte;635;199;81;246;Cancelado;2024-07-10 06:28:48.000;2024-07-10 06:28:48.000000
ENV00067;ID_T014;2024-06-20;Camioneta;Mobiliario;Norte;Levante;344;262;22;460;Retrasado;2024-06-20 16:30:43.200;2024-06-25 16:30:43.200000
ENV00068;ID_T003;2024-06-29;Furgoneta;Materiales_Construccion;Centro;Centro;639;219;58;473;Cancelado;2024-06-30 06:40:19.200;2024-06-30 06:40:19.200000
ENV00069;ID_T013;2024-11-02;Camioneta;Mobiliario;Sur;Sur;417;141;66;260;Retrasado;2024-11-02 20:00:57.600;2024-11-05 20:00:57.600000
ENV00070;ID_T002;2024-11-26;Camioneta;Materiales_Construccion;Andalucía;Andalucía;486;61;91;197;Entregado;2024-11-26 23:19:40.800;2024-11-27 08:28:21.129180
ENV00071;ID_T013;2024-11-16;Camioneta;Mobiliario;Sur;Canarias;487;123;79;499;Entregado;2024-11-16 23:22:33.600;2024-11-16 21:56:36.617832
ENV00072;ID_T011;2024-09-15;Furgoneta;Materiales_Construccion;Centro;Centro;749;75;40;138;Entregado;2024-09-16 11:57:07.200;2024-09-16 00:27:31.389870
ENV00073;ID_T009;2024-08-10;Camioneta;Químicos;Sur;Norte;487;24;38;515;Cancelado;2024-08-10 23:22:33.600;2024-08-10 23:22:33.600000
ENV00074;ID_T003;2024-06-13;Furgoneta;Químicos;Norte;Canarias;261;250;32;406;Retrasado;2024-06-13 12:31:40.800;2024-06-18 12:31:40.800000
ENV00075;ID_T002;2024-10-23;Camioneta;Materiales_Construccion;Levante;Sur;1041;76;32;592;Cancelado;2024-10-25 01:58:04.800;2024-10-25 01:58:04.800000
ENV00076;ID_T008;2024-03-31;Camioneta;Frío;Sur;Centro;379;116;52;320;Cancelado;2024-03-31 18:11:31.200;2024-03-31 18:11:31.200000
ENV00077;ID_T001;2024-03-11;Camioneta;Frío;Centro;Centro;629;20;70;517;Cancelado;2024-03-12 06:11:31.200;2024-03-12 06:11:31.200000
ENV00078;ID_T003;2024-01-01;Furgoneta;Frío;Sur;Andalucía;952;100;75;358;Entregado;2024-01-02 21:41:45.600;2024-01-02 13:38:47.434355
ENV00079;ID_T005;2024-08-08;Furgoneta;Paqueteria;Canarias;Levante;919;142;85;461;Cancelado;2024-08-09 20:06:43.200;2024-08-09 20:06:43.200000
ENV00080;ID_T015;2024-11-17;Camioneta;Químicos;Centro;Levante;889;88;17;487;Cancelado;2024-11-18 18:40:19.200;2024-11-18 18:40:19.200000
ENV00081;ID_T003;2024-10-19;Camioneta;Químicos;Canarias;Levante;135;20;61;493;Entregado;2024-10-19 06:28:48.000;2024-10-19 14:25:46.754483
ENV00082;ID_T008;2024-11-27;Camioneta;Paqueteria;Canarias;Andalucía;113;135;68;455;Cancelado;2024-11-27 05:25:26.400;2024-11-27 05:25:26.400000
ENV00083;ID_T009;2024-08-29;Furgoneta;Frío;Norte;Norte;606;219;27;426;Entregado;2024-08-30 05:05:16.800;2024-08-29 19:13:14.904580
ENV00084;ID_T006;2024-11-27;Furgoneta;Paqueteria;Levante;Andalucía;412;153;10;342;Retrasado;2024-11-27 19:46:33.600;2024-12-01 19:46:33.600000
ENV00085;ID_T002;2024-05-06;Furgoneta;Paqueteria;Sur;Andalucía;145;20;74;370;Cancelado;2024-05-06 06:57:36.000;2024-05-06 06:57:36.000000
ENV00086;ID_T007;2024-06-20;Camioneta;Mobiliario;Canarias;Levante;146;137;31;350;Entregado;2024-06-20 07:00:28.800;2024-06-20 14:07:20.393238
ENV00087;ID_T002;2024-12-22;Furgoneta;Paqueteria;Canarias;Canarias;591;119;45;318;Retrasado;2024-12-23 04:22:04.800;2024-12-25 04:22:04.800000
ENV00088;ID_T011;2024-05-12;Camioneta;Mobiliario;Norte;Levante;657;236;10;308;Cancelado;2024-05-13 07:32:09.600;2024-05-13 07:32:09.600000
ENV00089;ID_T006;2024-12-28;Camioneta;Frío;Levante;Andalucía;1030;138;60;152;Cancelado;2024-12-30 01:26:24.000;2024-12-30 01:26:24.000000
ENV00090;ID_T010;2024-12-27;Camioneta;Paqueteria;Norte;Canarias;722;165;17;108;Entregado;2024-12-28 10:39:21.600;2024-12-28 21:04:47.656492
ENV00091;ID_T011;2024-10-19;Camioneta;Químicos;Norte;Canarias;1111;63;70;603;Entregado;2024-10-21 05:19:40.800;2024-10-21 06:09:23.932498
ENV00092;ID_T014;2024-08-07;Furgoneta;Químicos;Sur;Canarias;470;20;10;460;Retrasado;2024-08-07 22:33:36.000;2024-08-11 22:33:36.000000
ENV00093;ID_T004;2024-07-14;Camioneta;Químicos;Centro;Centro;587;103;10;285;Entregado;2024-07-15 04:10:33.600;2024-07-15 01:22:58.894687
ENV00094;ID_T009;2024-05-24;Furgoneta;Mobiliario;Centro;Levante;786;143;104;50;Retrasado;2024-05-25 13:43:40.800;2024-05-26 13:43:40.800000
ENV00095;ID_T005;2024-03-20;Furgoneta;Frío;Norte;Centro;648;110;10;426;Entregado;2024-03-21 07:06:14.400;2024-03-21 05:07:13.247778
ENV00096;ID_T015;2024-05-26;Camioneta;Mobiliario;Sur;Sur;262;277;47;50;Retrasado;2024-05-26 12:34:33.600;2024-05-27 12:34:33.600000
ENV00097;ID_T009;2024-03-05;Furgoneta;Materiales_Construccion;Centro;Andalucía;330;121;67;321;Cancelado;2024-03-05 15:50:24.000;2024-03-05 15:50:24.000000
ENV00098;ID_T007;2024-05-12;Furgoneta;Frío;Centro;Centro;395;227;65;359;Entregado;2024-05-12 18:57:36.000;2024-05-12 16:01:25.818992
ENV00099;ID_T002;2024-01-12;Furgoneta;Materiales_Construccion;Andalucía;Andalucía;50;20;80;398;Entregado;2024-01-12 02:24:00.000;2024-01-12 12:50:22.476411
ENV00100;ID_T015;2024-07-07;Camioneta;Paqueteria;Centro;Norte;366;174;18;455;Cancelado;2024-07-07 17:34:04.800;2024-07-07 17:34:04.800000
ENV00101;ID_T013;2024-10-06;Camioneta;Frío;Norte;Andalucía;577;57;62;340;Entregado;2024-10-07 03:41:45.600;2024-10-07 13:23:23.442793
ENV00102;ID_T007;2024-11-18;Furgoneta;Materiales_Construccion;Canarias;Norte;402;241;40;438;Entregado;2024-11-18 19:17:45.600;2024-11-19 00:34:43.735208
ENV00103;ID_T006;2024-10-28;Furgoneta;Paqueteria;Levante;Levante;968;137;46;335;Cancelado;2024-10-29 22:27:50.400;2024-10-29 22:27:50.400000
ENV00104;ID_T012;2024-10-16;Furgoneta;Materiales_Construccion;Centro;Canarias;402;262;23;333;Retrasado;2024-10-16 19:17:45.600;2024-10-19 19:17:45.600000
ENV00105;ID_T006;2024-10-07;Furgoneta;Mobiliario;Sur;Sur;532;20;53;126;Retrasado;2024-10-08 01:32:09.600;2024-10-12 01:32:09.600000
ENV00106;ID_T013;2024-07-05;Furgoneta;Materiales_Construccion;Andalucía;Canarias;50;184;103;374;Cancelado;2024-07-05 02:24:00.000;2024-07-05 02:24:00.000000
ENV00107;ID_T006;2024-04-06;Furgoneta;Químicos;Sur;Canarias;355;286;40;524;Retrasado;2024-04-06 17:02:24.000;2024-04-10 17:02:24.000000
ENV00108;ID_T012;2024-12-03;Furgoneta;Químicos;Levante;Andalucía;777;181;16;406;Retrasado;2024-12-04 13:17:45.600;2024-12-09 13:17:45.600000
ENV00109;ID_T004;2024-06-24;Furgoneta;Mobiliario;Sur;Centro;1217;310;10;144;Retrasado;2024-06-26 10:24:57.600;2024-06-27 10:24:57.600000
ENV00110;ID_T001;2024-12-07;Camioneta;Químicos;Norte;Andalucía;200;199;81;196;Cancelado;2024-12-07 09:36:00.000;2024-12-07 09:36:00.000000
ENV00111;ID_T004;2024-05-16;Furgoneta;Frío;Andalucía;Norte;343;306;35;248;Retrasado;2024-05-16 16:27:50.400;2024-05-17 16:27:50.400000
ENV00112;ID_T005;2024-01-05;Furgoneta;Químicos;Norte;Canarias;769;154;80;383;Cancelado;2024-01-06 12:54:43.200;2024-01-06 12:54:43.200000
ENV00113;ID_T005;2024-12-05;Furgoneta;Paqueteria;Centro;Norte;1014;126;53;504;Cancelado;2024-12-07 00:40:19.200;2024-12-07 00:40:19.200000
ENV00114;ID_T014;2024-11-22;Camioneta;Químicos;Sur;Andalucía;661;151;68;274;Retrasado;2024-11-23 07:43:40.800;2024-11-24 07:43:40.800000
ENV00115;ID_T013;2024-05-15;Furgoneta;Químicos;Levante;Levante;313;95;66;428;Cancelado;2024-05-15 15:01:26.400;2024-05-15 15:01:26.400000
ENV00116;ID_T014;2024-06-27;Furgoneta;Mobiliario;Norte;Andalucía;621;206;49;429;Cancelado;2024-06-28 05:48:28.800;2024-06-28 05:48:28.800000
ENV00117;ID_T013;2024-06-20;Camioneta;Químicos;Levante;Centro;50;20;97;317;Cancelado;2024-06-20 02:24:00.000;2024-06-20 02:24:00.000000
ENV00118;ID_T003;2024-09-29;Camioneta;Paqueteria;Norte;Canarias;606;290;48;220;Retrasado;2024-09-30 05:05:16.800;2024-10-02 05:05:16.800000
ENV00119;ID_T005;2024-05-17;Furgoneta;Químicos;Canarias;Canarias;326;150;43;192;Entregado;2024-05-17 15:38:52.800;2024-05-17 23:29:41.383088
ENV00120;ID_T006;2024-03-31;Camioneta;Químicos;Centro;Andalucía;705;213;71;385;Retrasado;2024-04-01 09:50:24.000;2024-04-05 09:50:24.000000
ENV00121;ID_T012;2024-11-28;Furgoneta;Mobiliario;Andalucía;Levante;568;209;83;372;Entregado;2024-11-29 03:15:50.400;2024-11-29 10:56:15.012107
ENV00122;ID_T008;2024-05-03;Furgoneta;Químicos;Canarias;Levante;781;90;46;378;Cancelado;2024-05-04 13:29:16.800;2024-05-04 13:29:16.800000
ENV00123;ID_T001;2024-07-17;Camioneta;Frío;Sur;Centro;595;174;39;274;Cancelado;2024-07-18 04:33:36.000;2024-07-18 04:33:36.000000
ENV00124;ID_T003;2024-03-23;Camioneta;Materiales_Construccion;Norte;Norte;159;178;86;398;Entregado;2024-03-23 07:37:55.200;2024-03-23 11:31:40.949390
ENV00125;ID_T007;2024-06-07;Furgoneta;Frío;Canarias;Levante;230;128;67;114;Cancelado;2024-06-07 11:02:24.000;2024-06-07 11:02:24.000000
ENV00126;ID_T011;2024-03-07;Camioneta;Paqueteria;Norte;Centro;1106;142;50;525;Retrasado;2024-03-09 05:05:16.800;2024-03-11 05:05:16.800000
ENV00127;ID_T004;2024-12-01;Camioneta;Materiales_Construccion;Centro;Sur;554;104;10;349;Retrasado;2024-12-02 02:35:31.200;2024-12-03 02:35:31.200000
ENV00128;ID_T010;2024-11-28;Furgoneta;Paqueteria;Sur;Canarias;137;184;63;496;Retrasado;2024-11-28 06:34:33.600;2024-12-03 06:34:33.600000
ENV00129;ID_T003;2024-08-30;Furgoneta;Químicos;Canarias;Norte;836;200;10;344;Retrasado;2024-08-31 16:07:40.800;2024-09-05 16:07:40.800000
ENV00130;ID_T015;2024-06-15;Furgoneta;Mobiliario;Levante;Norte;748;133;153;105;Entregado;2024-06-16 11:54:14.400;2024-06-16 06:20:55.610787
ENV00131;ID_T014;2024-04-06;Furgoneta;Frío;Levante;Norte;244;149;10;381;Cancelado;2024-04-06 11:42:43.200;2024-04-06 11:42:43.200000
ENV00132;ID_T008;2024-03-17;Furgoneta;Frío;Centro;Centro;305;38;10;251;Cancelado;2024-03-17 14:38:24.000;2024-03-17 14:38:24.000000
ENV00133;ID_T004;2024-12-27;Camioneta;Paqueteria;Sur;Norte;586;24;122;372;Retrasado;2024-12-28 04:07:40.800;2024-12-30 04:07:40.800000
ENV00134;ID_T002;2024-08-05;Camioneta;Químicos;Centro;Canarias;50;87;66;402;Retrasado;2024-08-05 02:24:00.000;2024-08-06 02:24:00.000000
ENV00135;ID_T014;2024-05-02;Furgoneta;Paqueteria;Centro;Centro;142;216;54;446;Retrasado;2024-05-02 06:48:57.600;2024-05-07 06:48:57.600000
ENV00136;ID_T003;2024-04-23;Camioneta;Materiales_Construccion;Levante;Levante;673;125;59;278;Cancelado;2024-04-24 08:18:14.400;2024-04-24 08:18:14.400000
ENV00137;ID_T010;2024-09-26;Camioneta;Químicos;Centro;Centro;333;97;54;373;Entregado;2024-09-26 15:59:02.400;2024-09-26 22:12:20.114753
ENV00138;ID_T009;2024-04-29;Camioneta;Mobiliario;Sur;Centro;579;220;43;336;Retrasado;2024-04-30 03:47:31.200;2024-05-02 03:47:31.200000
ENV00139;ID_T001;2024-08-15;Furgoneta;Mobiliario;Levante;Norte;215;119;10;433;Retrasado;2024-08-15 10:19:12.000;2024-08-20 10:19:12.000000
ENV00140;ID_T001;2024-08-09;Furgoneta;Químicos;Centro;Sur;634;226;10;437;Entregado;2024-08-10 06:25:55.200;2024-08-10 03:02:01.575227
ENV00141;ID_T009;2024-12-14;Furgoneta;Paqueteria;Sur;Levante;569;147;61;602;Entregado;2024-12-15 03:18:43.200;2024-12-15 00:05:24.140781
ENV00142;ID_T012;2024-11-17;Camioneta;Materiales_Construccion;Andalucía;Norte;862;104;60;539;Retrasado;2024-11-18 17:22:33.600;2024-11-19 17:22:33.600000
ENV00143;ID_T009;2024-08-06;Furgoneta;Paqueteria;Centro;Levante;403;20;32;356;Entregado;2024-08-06 19:20:38.400;2024-08-07 03:40:08.713250
ENV00144;ID_T004;2024-10-15;Camioneta;Frío;Centro;Norte;310;32;25;217;Entregado;2024-10-15 14:52:48.000;2024-10-16 02:09:48.775379
ENV00145;ID_T013;2024-04-04;Furgoneta;Químicos;Centro;Levante;893;158;69;480;Retrasado;2024-04-05 18:51:50.400;2024-04-07 18:51:50.400000
ENV00146;ID_T015;2024-08-13;Furgoneta;Paqueteria;Centro;Canarias;602;48;115;420;Retrasado;2024-08-14 04:53:45.600;2024-08-19 04:53:45.600000
ENV00147;ID_T005;2024-06-30;Camioneta;Paqueteria;Canarias;Norte;305;130;32;150;Retrasado;2024-06-30 14:38:24.000;2024-07-03 14:38:24.000000
ENV00148;ID_T003;2024-02-26;Furgoneta;Materiales_Construccion;Levante;Canarias;788;80;89;229;Cancelado;2024-02-27 13:49:26.400;2024-02-27 13:49:26.400000
ENV00149;ID_T007;2024-04-10;Furgoneta;Paqueteria;Centro;Norte;50;222;93;307;Retrasado;2024-04-10 02:24:00.000;2024-04-14 02:24:00.000000
ENV00150;ID_T004;2024-02-11;Furgoneta;Químicos;Canarias;Norte;146;90;41;630;Cancelado;2024-02-11 07:00:28.800;2024-02-11 07:00:28.800000
ENV00151;ID_T005;2024-03-10;Camioneta;Químicos;Andalucía;Norte;852;155;43;349;Cancelado;2024-03-11 16:53:45.600;2024-03-11 16:53:45.600000
ENV00152;ID_T012;2024-10-23;Camioneta;Frío;Centro;Levante;528;183;46;388;Retrasado;2024-10-24 01:20:38.400;2024-10-25 01:20:38.400000
ENV00153;ID_T007;2024-11-16;Furgoneta;Materiales_Construccion;Levante;Sur;768;26;50;171;Retrasado;2024-11-17 12:51:50.400;2024-11-21 12:51:50.400000
ENV00154;ID_T005;2024-03-28;Camioneta;Químicos;Centro;Norte;335;169;85;558;Entregado;2024-03-28 16:04:48.000;2024-03-28 17:45:45.497977
ENV00155;ID_T014;2024-04-26;Furgoneta;Químicos;Levante;Sur;900;62;103;527;Entregado;2024-04-27 19:12:00.000;2024-04-28 02:36:52.535053
ENV00156;ID_T011;2024-03-19;Furgoneta;Paqueteria;Norte;Canarias;759;163;56;170;Retrasado;2024-03-20 12:25:55.200;2024-03-21 12:25:55.200000
ENV00157;ID_T013;2024-04-28;Furgoneta;Mobiliario;Centro;Centro;781;160;52;200;Retrasado;2024-04-29 13:29:16.800;2024-05-02 13:29:16.800000
ENV00158;ID_T007;2024-11-12;Furgoneta;Mobiliario;Andalucía;Canarias;813;128;29;214;Retrasado;2024-11-13 15:01:26.400;2024-11-14 15:01:26.400000
ENV00159;ID_T009;2024-06-15;Furgoneta;Químicos;Sur;Sur;820;249;14;109;Cancelado;2024-06-16 15:21:36.000;2024-06-16 15:21:36.000000
ENV00160;ID_T009;2024-08-21;Furgoneta;Frío;Andalucía;Andalucía;909;100;21;305;Entregado;2024-08-22 19:37:55.200;2024-08-22 18:17:24.746875
