ID_Transaccion;ID_Vendedor;Fecha_Venta;Canal_Venta;Tipo_Cliente;Region_Venta;Valor_Transaccion_€;Margen_Beneficio_€;Cantidad_Vendida
TRX00324;VEND002;2024-07-18;Venta_Directa;Particular;Canarias;279;40;6
TRX00325;VEND010;2024-01-11;Online;Empresa;Centro;238;101;4
TRX00326;VEND006;2024-11-24;Distribuidor;Particular;Centro;273;128;7
TRX00327;VEND001;2024-02-01;Online;Empresa;Sur;243;147;6
TRX00328;VEND007;2024-09-03;Venta_Directa;Gobierno;Andalucía;306;116;4
TRX00329;VEND010;2024-09-19;Distribuidor;Empresa;Norte;312;59;8
TRX00330;VEND003;2024-02-16;Retail;Empresa;Centro;50;71;5
TRX00331;VEND008;2024-02-09;Venta_Directa;Particular;Canarias;282;48;6
TRX00332;VEND002;2024-08-08;Retail;Empresa;Andalucía;186;63;6
TRX00333;VEND002;2024-12-27;Distribuidor;Particular;Levante;232;53;2
TRX00334;VEND006;2024-09-29;Online;Gobierno;Levante;284;27;3
TRX00335;VEND001;2024-04-20;Distribuidor;Particular;Sur;203;132;6
TRX00336;VEND001;2024-09-11;Online;Particular;Andalucía;90;55;4
TRX00337;VEND006;2024-05-12;Venta_Directa;Gobierno;Andalucía;221;63;7
TRX00338;VEND009;2024-07-04;Retail;Particular;Andalucía;172;111;3
TRX00339;VEND007;2024-11-03;Retail;Particular;Centro;292;100;3
TRX00340;VEND003;2024-05-26;Distribuidor;Empresa;Sur;386;94;4
TRX00341;VEND001;2024-07-12;Distribuidor;Particular;Sur;135;106;2
TRX00342;VEND002;2024-08-23;Distribuidor;Gobierno;Canarias;348;66;7
TRX00343;VEND002;2024-04-07;Online;Gobierno;Centro;275;19;3
TRX00344;VEND001;2024-01-04;Online;Empresa;Andalucía;282;90;5
TRX00345;VEND001;2024-08-25;Venta_Directa;Empresa;Canarias;150;49;4
TRX00346;VEND004;2024-09-27;Venta_Directa;Empresa;Canarias;254;101;6
TRX00347;VEND002;2024-04-24;Distribuidor;Particular;Sur;50;104;3
TRX00348;VEND009;2024-07-08;Venta_Directa;Particular;Canarias;227;94;4
TRX00349;VEND004;2024-04-04;Distribuidor;Particular;Centro;180;91;7
TRX00350;VEND009;2024-03-15;Online;Particular;Norte;338;35;4
TRX00351;VEND005;2024-09-13;Online;Particular;Centro;218;50;5
TRX00352;VEND005;2024-10-12;Venta_Directa;Particular;Levante;154;71;4
TRX00353;VEND006;2024-01-09;Distribuidor;Empresa;Andalucía;78;57;2
TRX00354;VEND009;2024-08-09;Distribuidor;Particular;Norte;208;115;7
TRX00355;VEND010;2024-10-20;Distribuidor;Empresa;Canarias;359;72;5
